ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
4497,Amazon Partners 20,"Amazon Partners 20, LLC",Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,362170,Latin America,,2023-03-21,2053-03-20
4490,Maodeng Pasture Improved Grassland Management Project,Maodeng Pasture of Xilin Hot City,Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,25124,,,2020-06-15,2060-06-14
4493,Varanasi Smart City Bio-Conversion Project,Gobardhan Varanasi Foundation SPV,Transport; Waste handling and disposal,,AMS-III.AO.; AMS-III.AQ,Under development,India,36400,Asia,,2022-06-17,2029-06-16
4487,Guangxi Baiduoshou Composting Project,"Guangxi Baiduoshou Biotechnology Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Under validation,China,57016,Asia,,2023-02-08,2033-02-07
4488,Agroforestry For Livelihoods,Livelihoods Fund SICAV SIF,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Rwanda,117565,Africa,,2020-06-22,2040-06-21
4489,RIWNE OBLAST FOREST PRESERVATION PROJECT (Conversion of logged to protected forest),Denmak TOV,Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,Ukraine,297696,Europe,,2021-01-01,2050-12-31
4483,Inner Mongolia Hinggan League Improved Grassland Management Project,"Hinggan League Water Investment Group Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,89570,Asia,,2020-06-26,2060-06-25
4485,Mejuruá Project,BR ARBO GESTAO FLORESTAL S.A.,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Brazil,2736173,Latin America,,2021-07-26,2031-07-25
4486,Nkhotakota Solar PV project,South Pole Carbon Asset Management Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Malawi,22599,Africa,,2023-06-10,2030-06-09
4481,Restore Africa: Restoring trees and livelihoods in Kenya,Global Evergreening Alliance,Agriculture Forestry and Other Land Use,ARR,Methodology Under Development,Under development,Kenya,44788,Africa,,2022-10-01,2052-09-30
4477,Reduction of GHG emission by energy efficient led lights installation in Ghaziabad Nagar Nigam,Multiple Proponents,Energy demand,,AMS-II.C.,Under validation,India,15237,Asia,,2021-12-08,2031-12-07
